St_Id,St_Name,Game_Name,Result
1,Yuvraj,Badminton,Won
2,Akanshi,Archary,Won
3,Amresh,Carrom,Lost
4,Rohan,Cricket,Won
5,Priya,Tennis,Lost
6,Amit,Football,Won
7,Sneha,Chess,Won
8,Vikas,Basketball,Lost
9,Ananya,Table Tennis,Won
10,Rahul,Volleyball,Lost
11,Kavya,Badminton,Won
12,Aditya,Archary,Lost
13,Pooja,Carrom,Won
14,Deepak,Cricket,Lost
15,Neha,Tennis,Won
16,Saurabh,Football,Lost
17,Riya,Chess,Won
18,Manish,Basketball,Won
19,Isha,Table Tennis,Lost
20,Karan,Volleyball,Won
21,Divya,Badminton,Lost
22,Nikhil,Archary,Won
23,Shreya,Carrom,Lost
24,Gaurav,Cricket,Won
25,Tanvi,Tennis,Won
26,Aakash,Football,Lost
27,Megha,Chess,Won
28,Rishabh,Basketball,Lost
29,Simran,Table Tennis,Won
30,Varun,Volleyball,Lost
31,Anjali,Badminton,Won
32,Harsh,Archary,Lost
33,Kirti,Carrom,Won
34,Kunal,Cricket,Won
35,Bhavna,Tennis,Lost
36,Alok,Football,Won
37,Swati,Chess,Lost
38,Abhishek,Basketball,Won
39,Payal,Table Tennis,Lost
40,Sachin,Volleyball,Won
41,Preeti,Badminton,Lost
42,Tarun,Archary,Won
43,Nisha,Carrom,Won
44,Siddharth,Cricket,Lost
45,Jyoti,Tennis,Won
46,Mayank,Football,Lost
47,Pankaj,Chess,Won
48,Aarti,Basketball,Lost
49,Shivam,Table Tennis,Won
50,Monika,Volleyball,Won
